date,hour,room,co2,humidity,light,pir,temperature
2013-08-24,2,413,476.88,42.46,45.47,0.0,25.24
2013-08-24,2,415,477.36,50.79,49.86,0.0,23.72
2013-08-24,2,417,353.33,50.47,26.47,0.0,23.86
2013-08-24,2,419,451.18,51.67,88.5,0.0,98.99
2013-08-24,2,421,340.0,51.71,93.52,0.0,23.3
2013-08-24,2,422,409.52,52.15,92.68,0.0,23.59
2013-08-24,2,423,362.07,50.33,3.53,,23.72
2013-08-24,2,424,407.1,49.89,2.83,0.0,24.11
2013-08-24,2,442,454.58,48.68,6.95,0.0,24.24
2013-08-24,2,446,486.28,51.66,3.92,0.0,23.19
2013-08-24,2,448,385.19,51.25,4.18,0.0,23.62
2013-08-24,2,452,366.53,46.04,2.93,0.0,23.5
2013-08-24,2,454,342.51,51.38,3.32,0.0,23.57
2013-08-24,2,456,429.76,48.59,3.35,0.0,24.3
2013-08-24,2,458,483.98,52.88,5.0,0.0,22.98
2013-08-24,2,462,431.71,58.04,3.89,0.0,21.56
2013-08-24,3,413,470.03,42.85,3.97,0.0,24.99
2013-08-24,3,415,471.7,51.15,17.72,0.0,23.53
2013-08-24,3,417,349.83,51.21,3.5,0.0,23.56
2013-08-24,3,419,449.18,52.05,4.01,0.0,76.41
2013-08-24,3,421,331.92,52.47,18.52,0.0,23.0
2013-08-24,3,422,410.7,52.55,3.42,0.0,23.38
2013-08-24,3,423,351.76,50.32,3.42,,23.76
2013-08-24,3,424,395.97,49.9,2.82,0.0,24.14
2013-08-24,3,442,447.73,48.85,3.5,0.0,24.21
2013-08-24,3,446,478.9,51.83,3.28,0.0,23.17
2013-08-24,3,448,375.63,51.35,4.09,0.0,23.62
2013-08-24,3,452,357.42,46.1,2.77,0.0,23.52
2013-08-24,3,454,332.95,51.49,3.18,0.0,23.57
2013-08-24,3,456,422.06,48.69,3.18,0.0,24.31
2013-08-24,3,458,480.93,53.11,3.82,0.0,23.01
2013-08-24,3,462,430.42,57.86,3.24,0.0,21.77
2013-08-24,4,413,460.61,43.54,3.85,0.0,24.63
2013-08-24,4,415,470.74,51.55,17.41,0.0,23.42
2013-08-24,4,417,348.91,51.79,3.41,0.0,23.4
2013-08-24,4,419,447.46,52.77,3.54,0.0,61.51
2013-08-24,4,421,331.71,52.81,18.25,0.0,22.91
2013-08-24,4,422,405.29,53.36,3.09,0.0,23.07
2013-08-24,4,423,346.49,50.37,3.41,,23.77
2013-08-24,4,424,391.44,49.92,2.89,0.0,24.17
2013-08-24,4,442,446.52,49.07,3.81,0.0,24.15
2013-08-24,4,446,476.46,52.05,3.35,0.0,23.13
2013-08-24,4,448,371.8,51.51,4.13,0.0,23.6
2013-08-24,4,452,352.29,46.24,2.75,0.0,23.5
2013-08-24,4,454,330.79,51.63,3.31,0.0,23.55
2013-08-24,4,456,419.94,48.85,3.22,0.0,24.29
2013-08-24,4,458,479.54,53.11,3.79,0.0,23.02
2013-08-24,4,462,426.4,57.3,3.33,0.0,22.04
2013-08-24,5,413,456.39,44.03,3.77,0.0,24.3
2013-08-24,5,415,468.5,51.57,17.35,0.0,23.36
2013-08-24,5,417,347.55,51.86,3.28,0.0,23.33
2013-08-24,5,419,446.57,52.96,3.58,0.0,85.36
2013-08-24,5,421,329.91,52.82,18.12,0.0,22.84
2013-08-24,5,422,404.63,53.81,3.17,0.0,22.82
2013-08-24,5,423,344.67,50.28,3.4,,23.78
2013-08-24,5,424,389.81,49.81,2.9,0.0,24.17
2013-08-24,5,442,446.36,49.09,3.86,0.0,24.09
2013-08-24,5,446,476.57,52.03,3.25,0.0,23.09
2013-08-24,5,448,370.21,51.51,4.1,0.0,23.57
2013-08-24,5,452,350.99,46.24,2.76,0.0,23.47
2013-08-24,5,454,327.89,51.65,3.28,0.0,23.52
2013-08-24,5,456,417.15,48.78,3.1,0.0,24.26
2013-08-24,5,458,468.17,54.17,3.76,0.0,22.35
2013-08-24,5,462,423.97,56.53,3.39,0.0,22.21
2013-08-24,6,413,451.23,44.71,3.89,0.0,24.05
2013-08-24,6,415,466.41,51.82,17.32,0.0,23.23
2013-08-24,6,417,344.52,52.16,3.4,0.0,23.22
2013-08-24,6,419,440.56,53.29,3.64,0.0,41.98
2013-08-24,6,421,325.69,53.18,18.24,0.0,22.7
2013-08-24,6,422,400.57,54.44,3.07,0.0,22.65
2013-08-24,6,423,342.49,50.3,3.42,,23.8
2013-08-24,6,424,387.48,49.86,2.82,0.0,24.18
2013-08-24,6,442,444.2,49.33,4.01,0.0,24.05
2013-08-24,6,446,475.41,52.3,3.25,0.0,23.05
2013-08-24,6,448,368.78,51.67,4.13,0.0,23.54
2013-08-24,6,452,347.88,46.36,2.8,0.0,23.44
2013-08-24,6,454,327.11,51.79,3.27,0.0,23.49
2013-08-24,6,456,414.17,48.96,3.17,0.0,24.15
2013-08-24,6,458,454.54,57.51,3.71,0.0,21.38
2013-08-24,6,462,420.71,56.43,3.34,0.0,22.27
2013-08-24,7,413,450.46,45.37,3.89,0.0,23.8
2013-08-24,7,415,466.12,52.16,17.38,0.0,23.11
2013-08-24,7,417,343.72,52.48,3.51,0.0,23.11
2013-08-24,7,419,437.7,53.66,3.61,0.0,44.17
2013-08-24,7,421,326.04,53.43,18.2,0.0,22.63
2013-08-24,7,422,400.96,54.91,3.13,0.0,22.54
2013-08-24,7,423,341.04,50.34,3.35,,23.83
2013-08-24,7,424,386.05,49.94,2.84,0.0,24.18
2013-08-24,7,442,443.53,49.53,3.98,0.0,24.02
2013-08-24,7,446,471.3,52.55,3.27,0.0,23.01
2013-08-24,7,448,367.38,51.87,4.05,0.0,23.51
2013-08-24,7,452,348.12,46.53,2.73,0.0,23.41
2013-08-24,7,454,324.79,51.99,3.33,0.0,23.45
2013-08-24,7,456,413.2,49.29,3.14,0.0,24.05
2013-08-24,7,458,451.31,59.14,3.63,0.0,20.95
2013-08-24,7,462,419.2,56.46,3.34,0.0,22.28
2013-08-24,8,413,447.52,45.85,3.79,0.0,23.55
2013-08-24,8,415,463.31,52.36,17.41,95.71,22.99
2013-08-24,8,417,342.25,52.66,3.38,0.0,23.02
2013-08-24,8,419,435.49,53.85,3.54,0.0,61.87
2013-08-24,8,421,324.92,53.54,18.18,0.0,22.56
2013-08-24,8,422,398.38,55.09,3.07,0.0,22.46
2013-08-24,8,423,340.42,50.24,3.43,,23.86
2013-08-24,8,424,382.4,49.88,2.93,0.0,24.2
2013-08-24,8,442,442.88,49.55,3.94,0.0,23.99
2013-08-24,8,446,469.92,52.58,3.37,0.0,22.98
2013-08-24,8,448,366.0,51.91,4.1,0.0,23.49
2013-08-24,8,452,345.18,46.56,2.82,0.0,23.39
2013-08-24,8,454,323.15,52.1,3.23,0.0,23.4
2013-08-24,8,456,412.28,49.45,3.19,0.0,23.96
2013-08-24,8,458,450.34,59.91,3.74,0.0,20.75
2013-08-24,8,462,419.44,56.36,3.38,0.0,22.27
2013-08-24,9,413,444.95,46.2,3.77,0.0,23.32
2013-08-24,9,415,460.86,52.48,17.41,0.0,22.87
2013-08-24,9,417,341.42,52.73,3.42,0.0,22.93
2013-08-24,9,419,433.65,53.93,3.58,0.0,54.05
2013-08-24,9,421,323.03,53.58,18.21,0.0,22.48
2013-08-24,9,422,397.68,55.12,3.15,0.0,22.37
2013-08-24,9,423,339.58,50.03,3.39,,23.9
2013-08-24,9,424,382.81,49.73,2.87,0.0,24.21
2013-08-24,9,442,441.23,49.47,4.02,0.0,23.97
2013-08-24,9,446,469.46,52.47,3.26,0.0,22.96
2013-08-24,9,448,366.34,51.84,4.12,0.0,23.47
2013-08-24,9,452,345.78,46.49,2.73,0.0,23.37
2013-08-24,9,454,321.36,52.13,3.33,0.0,23.35
2013-08-24,9,456,409.88,49.52,3.11,0.0,23.9
2013-08-24,9,458,446.38,60.09,3.7,0.0,20.63
2013-08-24,9,462,418.71,56.17,3.34,0.0,22.24
2013-08-24,10,413,443.99,46.49,3.69,0.0,23.13
2013-08-24,10,415,460.04,52.6,17.46,0.0,22.75
2013-08-24,10,417,340.89,52.82,3.43,0.0,22.84
2013-08-24,10,419,433.62,53.99,3.58,0.0,47.79
2013-08-24,10,421,322.57,53.62,18.25,0.0,22.4
2013-08-24,10,422,394.61,55.15,2.98,0.0,22.3
2013-08-24,10,423,337.42,49.8,3.4,,23.94
2013-08-24,10,424,382.8,49.54,2.86,0.0,24.23
2013-08-24,10,442,439.81,49.39,3.92,0.0,23.95
2013-08-24,10,446,468.49,52.32,3.28,0.0,22.95
2013-08-24,10,448,364.91,51.73,4.14,0.0,23.45
2013-08-24,10,452,344.98,46.42,2.75,0.0,23.34
2013-08-24,10,454,320.74,52.09,3.28,0.0,23.32
2013-08-24,10,456,408.65,49.55,3.15,0.0,23.85
2013-08-24,10,458,446.73,60.12,3.73,0.0,20.61
2013-08-24,10,462,416.98,56.03,3.38,0.0,22.22
2013-08-24,11,413,443.01,46.98,3.72,0.0,22.99
2013-08-24,11,415,460.95,52.84,17.47,0.0,22.66
2013-08-24,11,417,340.35,53.03,3.42,0.0,22.77
2013-08-24,11,419,433.33,54.19,3.52,0.0,60.11
2013-08-24,11,421,323.51,53.8,18.23,0.0,22.36
2013-08-24,11,422,398.62,55.41,3.12,0.0,22.26
2013-08-24,11,423,337.81,49.71,3.4,,23.97
2013-08-24,11,424,382.77,49.48,2.94,0.0,24.25
2013-08-24,11,442,440.06,49.49,4.06,0.0,23.94
2013-08-24,11,446,466.65,52.5,3.28,0.0,22.92
2013-08-24,11,448,364.79,51.81,4.13,0.0,23.44
2013-08-24,11,452,344.79,46.48,2.7,0.0,23.32
2013-08-24,11,454,320.47,52.17,3.25,0.0,23.3
2013-08-24,11,456,409.58,49.72,3.14,0.0,23.8
2013-08-24,11,458,448.69,60.46,3.72,0.0,20.64
2013-08-24,11,462,416.29,56.18,3.33,0.0,22.22
2013-08-24,12,413,443.6,47.37,5.21,1.19,22.94
2013-08-24,12,415,461.44,53.18,17.6,0.69,22.6
2013-08-24,12,417,339.8,53.27,3.83,0.65,22.76
2013-08-24,12,419,434.05,54.44,10.68,0.08,39.98
2013-08-24,12,421,333.05,53.96,18.24,0.0,22.41
2013-08-24,12,422,408.79,55.65,8.85,5.17,22.31
2013-08-24,12,423,339.02,49.62,5.16,,23.99
2013-08-24,12,424,394.3,49.53,6.14,4.84,24.25
2013-08-24,12,442,440.34,49.72,4.81,0.0,23.91
2013-08-24,12,446,467.86,52.7,3.78,0.0,22.93
2013-08-24,12,448,364.27,52.0,4.52,0.0,23.43
2013-08-24,12,452,345.22,46.67,3.35,0.0,23.31
2013-08-24,12,454,319.71,52.35,3.47,0.0,23.29
2013-08-24,12,456,409.46,49.99,3.77,0.0,23.78
2013-08-24,12,458,448.79,60.77,5.75,0.0,20.64
2013-08-24,12,462,416.74,56.43,4.31,0.0,22.22
2013-08-24,13,413,486.47,49.82,24.52,11.34,23.18
2013-08-24,13,415,522.22,54.49,17.9,11.79,22.67
2013-08-24,13,417,382.17,53.64,15.95,7.49,22.98
2013-08-24,13,419,516.22,55.49,21.12,13.48,46.48
2013-08-24,13,421,388.69,54.97,20.11,0.0,22.79
2013-08-24,13,422,453.23,56.41,28.92,7.9,22.69
2013-08-24,13,423,386.22,51.1,32.48,,24.07
2013-08-24,13,424,431.86,52.72,11.02,8.22,24.3
2013-08-24,13,442,442.51,49.89,4.47,0.0,23.9
2013-08-24,13,446,469.75,52.85,3.61,0.0,22.93
2013-08-24,13,448,365.71,52.13,4.42,0.0,23.44
2013-08-24,13,452,344.68,46.8,3.16,0.0,23.31
2013-08-24,13,454,320.85,52.48,3.38,0.0,23.29
2013-08-24,13,456,411.11,50.17,3.65,0.0,23.78
2013-08-24,13,458,448.73,60.87,5.27,0.0,20.64
2013-08-24,13,462,418.3,56.56,4.0,0.0,22.23
2013-08-24,14,413,444.6,50.99,20.37,0.0,22.86
2013-08-24,14,415,483.38,54.45,28.79,0.0,22.6
2013-08-24,14,417,353.57,53.42,18.47,0.0,22.88
2013-08-24,14,419,466.62,56.12,51.79,0.0,46.4
2013-08-24,14,421,343.55,56.35,52.28,0.0,22.53
2013-08-24,14,422,410.5,57.77,60.82,0.0,22.49
2013-08-24,14,423,359.0,52.11,3.51,,24.18
2013-08-24,14,424,398.45,54.65,2.87,0.0,24.38
2013-08-24,14,442,442.56,49.77,4.01,0.0,23.91
2013-08-24,14,446,469.25,52.64,3.28,0.0,22.95
2013-08-24,14,448,365.37,52.03,4.02,0.0,23.44
2013-08-24,14,452,346.15,46.72,2.79,0.0,23.31
2013-08-24,14,454,321.58,52.41,3.22,0.0,23.29
2013-08-24,14,456,410.93,50.14,3.23,0.0,23.77
2013-08-24,14,458,449.34,60.63,3.78,0.0,20.63
2013-08-24,14,462,419.06,56.34,3.37,0.0,22.22
2013-08-24,15,413,443.39,51.37,56.36,0.0,22.69
2013-08-24,15,415,467.65,54.36,52.26,0.0,22.57
2013-08-24,15,417,344.46,53.4,51.97,0.0,22.84
2013-08-24,15,419,441.6,55.81,105.01,0.0,45.61
2013-08-24,15,421,329.62,55.89,113.99,0.0,22.44
2013-08-24,15,422,404.14,57.45,121.39,0.0,22.45
2013-08-24,15,423,345.1,51.7,3.54,,24.21
2013-08-24,15,424,387.68,54.91,2.84,0.0,24.39
2013-08-24,15,442,442.57,49.76,4.09,0.0,23.91
2013-08-24,15,446,470.5,52.57,3.32,0.0,22.97
2013-08-24,15,448,367.35,51.97,4.12,0.0,23.45
2013-08-24,15,452,347.05,46.69,2.78,0.0,23.32
2013-08-24,15,454,322.81,52.31,3.26,0.0,23.34
2013-08-24,15,456,411.44,50.15,3.17,0.0,23.76
2013-08-24,15,458,450.28,60.84,3.77,0.0,20.6
2013-08-24,15,462,420.0,56.34,3.33,0.0,22.23
2013-08-24,16,413,444.44,51.49,75.11,0.0,22.66
2013-08-24,16,415,466.88,54.31,59.47,0.0,22.63
2013-08-24,16,417,343.58,53.44,55.13,0.0,22.88
2013-08-24,16,419,436.2,55.3,121.43,0.0,49.57
2013-08-24,16,421,328.27,55.16,145.52,0.0,22.57
2013-08-24,16,422,404.35,56.77,139.43,0.0,22.5
2013-08-24,16,423,340.44,51.14,3.57,0.0,24.24
2013-08-24,16,424,385.62,54.03,2.86,0.0,24.4
2013-08-24,16,442,445.25,49.89,4.35,0.0,23.91
2013-08-24,16,446,472.07,52.73,3.3,0.0,22.96
2013-08-24,16,448,369.0,52.07,4.1,0.0,23.46
2013-08-24,16,452,348.72,46.79,2.79,0.0,23.31
2013-08-24,16,454,324.51,52.38,3.32,0.0,23.34
2013-08-24,16,456,412.9,50.31,3.17,0.0,23.75
2013-08-24,16,458,452.73,61.04,4.0,0.0,20.63
2013-08-24,16,462,421.46,56.51,3.4,0.0,22.23
2013-08-24,17,413,449.58,51.14,90.35,0.0,22.65
2013-08-24,17,415,469.18,54.23,60.18,0.0,22.68
2013-08-24,17,417,346.83,53.48,64.02,0.0,22.93
2013-08-24,17,419,439.25,54.83,132.26,0.0,53.52
2013-08-24,17,421,331.6,54.68,176.48,0.0,22.65
2013-08-24,17,422,408.96,56.19,160.14,0.0,22.58
2013-08-24,17,423,343.18,50.63,3.76,0.0,24.26
2013-08-24,17,424,388.05,52.76,2.98,0.0,24.41
2013-08-24,17,442,448.63,49.99,4.42,0.0,23.92
2013-08-24,17,446,475.5,52.84,3.33,0.0,22.97
2013-08-24,17,448,371.57,52.16,4.12,0.0,23.46
2013-08-24,17,452,351.65,46.87,2.7,0.0,23.32
2013-08-24,17,454,327.65,52.47,3.26,0.0,23.34
2013-08-24,17,456,415.66,50.45,3.21,0.0,23.74
2013-08-24,17,458,458.53,61.37,3.96,0.0,20.62
2013-08-24,17,462,426.55,56.65,3.42,0.0,22.24
2013-08-24,18,413,464.93,51.16,100.88,0.0,22.67
2013-08-24,18,415,482.5,54.51,65.37,0.0,22.75
2013-08-24,18,417,354.65,53.79,73.47,0.0,23.02
2013-08-24,18,419,453.31,54.76,145.48,0.0,49.77
2013-08-24,18,421,341.71,54.77,194.66,0.0,22.74
2013-08-24,18,422,422.83,56.2,178.79,0.0,22.7
2013-08-24,18,423,353.86,50.55,3.69,0.0,24.29
2013-08-24,18,424,399.61,52.06,2.92,0.0,24.43
2013-08-24,18,442,463.38,50.51,4.5,0.0,23.94
2013-08-24,18,446,490.65,53.47,3.33,0.0,22.96
2013-08-24,18,448,382.92,52.62,4.14,0.0,23.47
2013-08-24,18,452,362.05,47.25,2.82,0.0,23.32
2013-08-24,18,454,339.06,52.84,3.38,0.0,23.35
2013-08-24,18,456,429.64,50.95,3.22,0.0,23.74
2013-08-24,18,458,477.21,62.32,3.83,0.0,20.63
2013-08-24,18,462,443.04,57.33,3.38,0.0,22.27
2013-08-24,19,413,468.63,50.91,109.05,0.0,22.75
2013-08-24,19,415,488.98,54.75,69.5,0.0,22.84
2013-08-24,19,417,361.6,53.93,87.34,0.0,23.14
2013-08-24,19,419,460.76,54.64,162.3,0.0,59.2
2013-08-24,19,421,344.22,54.99,214.04,0.0,22.79
2013-08-24,19,422,426.65,56.07,208.37,0.0,22.86
2013-08-24,19,423,361.37,50.56,3.62,0.0,24.32
2013-08-24,19,424,406.94,51.64,2.91,0.0,24.45
2013-08-24,19,442,466.72,50.91,4.58,0.0,23.93
2013-08-24,19,446,495.7,53.98,3.37,0.0,22.95
2013-08-24,19,448,389.73,53.03,4.15,0.0,23.46
2013-08-24,19,452,368.75,47.6,2.77,0.0,23.32
2013-08-24,19,454,346.22,53.19,3.27,0.0,23.36
2013-08-24,19,456,435.62,51.38,3.09,0.0,23.74
2013-08-24,19,458,475.54,62.87,3.81,0.0,20.62
2013-08-24,19,462,446.62,57.74,3.39,0.0,22.31
2013-08-24,20,413,465.32,50.47,112.17,0.0,22.84
2013-08-24,20,415,486.38,54.8,68.41,0.0,22.93
2013-08-24,20,417,361.71,53.97,87.12,0.0,23.26
2013-08-24,20,419,463.07,54.51,157.42,0.0,55.47
2013-08-24,20,421,342.27,54.96,213.67,0.0,22.89
2013-08-24,20,422,423.71,55.87,227.89,0.0,23.0
2013-08-24,20,423,361.5,50.55,3.71,0.0,24.35
2013-08-24,20,424,405.42,51.38,2.96,0.0,24.49
2013-08-24,20,442,464.06,51.19,4.81,0.0,23.93
2013-08-24,20,446,492.69,54.31,3.46,0.0,22.94
2013-08-24,20,448,387.4,53.35,4.15,0.0,23.46
2013-08-24,20,452,368.17,47.86,2.79,0.0,23.33
2013-08-24,20,454,346.53,53.47,3.27,0.0,23.36
2013-08-24,20,456,434.31,51.73,3.23,0.0,23.73
2013-08-24,20,458,471.95,63.19,4.92,0.0,20.61
2013-08-24,20,462,443.14,57.95,3.8,0.0,22.34
2013-08-24,21,413,470.69,50.12,124.24,0.0,22.98
2013-08-24,21,415,489.43,54.69,99.88,0.0,23.04
2013-08-24,21,417,363.45,53.87,92.12,0.0,23.38
2013-08-24,21,419,468.25,54.28,199.18,0.0,66.42
2013-08-24,21,421,340.34,54.69,243.85,0.0,23.02
2013-08-24,21,422,426.88,55.58,260.39,0.0,23.14
2013-08-24,21,423,363.4,50.49,3.58,0.0,24.39
2013-08-24,21,424,409.91,51.15,2.88,0.0,24.52
2013-08-24,21,442,469.82,51.39,5.12,0.0,23.92
2013-08-24,21,446,497.36,54.5,3.45,0.0,23.71
2013-08-24,21,448,390.76,53.55,4.1,0.0,23.45
2013-08-24,21,452,370.4,48.03,2.84,0.0,23.32
2013-08-24,21,454,348.22,53.67,3.26,0.0,23.35
2013-08-24,21,456,435.62,51.94,3.29,0.0,23.72
2013-08-24,21,458,477.98,63.34,6.38,0.0,20.61
2013-08-24,21,462,447.0,58.05,4.44,0.0,22.36
2013-08-24,22,413,474.95,49.59,121.33,0.0,23.27
2013-08-24,22,415,493.64,54.58,88.46,0.0,23.17
2013-08-24,22,417,366.84,53.67,92.85,0.0,23.55
2013-08-24,22,419,470.08,54.06,181.54,0.0,53.4
2013-08-24,22,421,343.37,54.46,222.7,0.0,23.17
2013-08-24,22,422,431.27,55.3,255.83,0.0,23.3
2013-08-24,22,423,365.97,50.47,3.59,0.0,24.43
2013-08-24,22,424,412.02,51.03,2.9,0.0,24.56
2013-08-24,22,442,471.79,51.58,4.82,0.0,23.92
2013-08-24,22,446,500.33,54.7,3.31,0.0,22.93
2013-08-24,22,448,394.04,53.76,4.08,0.0,23.44
2013-08-24,22,452,374.31,48.21,2.77,0.0,23.32
2013-08-24,22,454,350.93,53.88,3.38,0.0,23.35
2013-08-24,22,456,439.82,52.16,3.22,0.0,23.71
2013-08-24,22,458,480.55,63.6,5.4,0.0,20.6
2013-08-24,22,462,450.09,58.21,4.08,0.0,22.37
2013-08-24,23,413,475.64,48.79,112.32,0.0,23.68
2013-08-24,23,415,493.42,54.28,98.22,0.0,23.37
2013-08-24,23,417,366.58,53.47,77.16,0.0,23.71
2013-08-24,23,419,470.11,53.81,196.57,0.0,71.35
2013-08-24,23,421,340.29,54.24,224.76,0.0,23.35
2013-08-24,23,422,427.58,55.09,260.37,0.0,23.43
2013-08-24,23,423,364.68,50.47,3.68,0.0,24.47
2013-08-24,23,424,411.63,50.96,2.91,0.0,24.6
2013-08-24,23,442,466.69,51.77,5.16,0.0,23.93
2013-08-24,23,446,496.0,54.87,3.42,0.0,22.94
2013-08-24,23,448,391.82,53.95,4.17,0.0,23.44
2013-08-24,23,452,373.26,48.37,2.78,0.0,23.32
2013-08-24,23,454,347.93,54.07,3.3,0.0,23.34
2013-08-24,23,456,437.4,52.37,3.21,0.0,23.7
2013-08-24,23,458,472.16,63.83,3.95,0.0,20.62
2013-08-24,23,462,443.52,58.36,3.41,0.0,22.39
2013-08-25,0,413,462.18,48.27,138.55,0.0,24.12
2013-08-25,0,415,481.02,54.11,105.78,0.0,23.58
2013-08-25,0,417,357.07,53.44,66.79,0.0,23.89
2013-08-25,0,419,459.46,53.7,204.62,0.0,79.25
2013-08-25,0,421,342.91,54.11,198.28,0.0,23.6
2013-08-25,0,422,415.66,55.19,233.13,0.0,23.58
2013-08-25,0,423,353.53,50.64,3.74,0.0,24.52
2013-08-25,0,424,400.24,51.06,2.82,0.0,24.65
2013-08-25,0,442,453.56,52.16,5.37,0.0,23.97
2013-08-25,0,446,482.06,55.33,3.5,0.0,22.96
2013-08-25,0,448,380.32,54.34,4.16,0.0,23.45
2013-08-25,0,452,360.78,48.7,2.76,0.0,23.32
2013-08-25,0,454,337.0,54.42,3.27,0.0,23.34
2013-08-25,0,456,421.98,52.76,3.08,0.0,23.7
2013-08-25,0,458,458.25,64.59,4.13,0.0,20.62
2013-08-25,0,462,429.07,58.89,3.53,0.0,22.4
2013-08-25,1,413,466.08,47.48,194.68,0.0,24.65
2013-08-25,1,415,479.92,53.68,111.48,0.0,23.92
2013-08-25,1,417,354.43,53.34,63.42,0.0,24.14
2013-08-25,1,419,453.64,53.51,212.77,0.0,58.69
2013-08-25,1,421,343.5,54.04,175.83,0.0,23.86
2013-08-25,1,422,412.87,55.16,214.59,0.0,23.82
2013-08-25,1,423,348.68,50.84,3.67,0.0,24.59
2013-08-25,1,424,395.35,51.25,2.92,0.0,24.7
2013-08-25,1,442,450.25,52.53,5.94,0.0,24.02
2013-08-25,1,446,478.82,55.74,3.49,0.0,23.0
2013-08-25,1,448,375.27,54.82,4.17,0.0,23.46
2013-08-25,1,452,357.15,49.09,2.76,0.0,23.33
2013-08-25,1,454,331.02,54.84,3.33,0.0,23.35
2013-08-25,1,456,418.29,53.24,3.3,0.0,23.7
2013-08-25,1,458,455.68,65.27,5.81,0.0,20.61
2013-08-25,1,462,425.5,59.45,4.4,0.0,22.4
2013-08-25,2,413,463.14,46.95,34.75,0.0,24.85
2013-08-25,2,415,472.66,53.33,42.56,0.0,24.2
2013-08-25,2,417,353.24,53.09,20.41,0.0,24.35
2013-08-25,2,419,448.03,53.24,84.59,0.0,80.48
2013-08-25,2,421,338.04,53.89,64.86,0.0,24.04
2013-08-25,2,422,408.41,54.86,85.45,0.0,24.01
2013-08-25,2,423,343.84,50.97,3.53,0.0,24.64
2013-08-25,2,424,390.06,51.37,2.85,0.0,24.75
2013-08-25,2,442,445.71,52.76,6.15,0.0,24.05
2013-08-25,2,446,475.63,56.05,3.37,0.0,23.01
2013-08-25,2,448,370.63,55.15,4.13,0.0,23.47
2013-08-25,2,452,350.54,49.4,2.71,0.0,23.33
2013-08-25,2,454,327.18,55.18,3.24,0.0,23.35
2013-08-25,2,456,413.89,53.58,3.32,0.0,23.7
2013-08-25,2,458,452.53,65.56,5.61,0.0,20.61
2013-08-25,2,462,422.14,59.77,4.31,0.0,22.39
2013-08-25,3,413,460.01,47.25,3.93,0.0,24.7
2013-08-25,3,415,471.33,53.93,17.48,0.0,24.01
2013-08-25,3,417,353.7,53.44,3.57,0.0,24.22
2013-08-25,3,419,445.88,53.56,25.03,0.0,98.75
2013-08-25,3,421,336.25,54.33,17.58,0.0,23.85
2013-08-25,3,422,406.55,55.32,27.64,0.0,23.86
2013-08-25,3,423,341.14,51.12,3.47,0.0,24.68
2013-08-25,3,424,387.88,51.51,2.87,0.0,24.79
2013-08-25,3,442,444.29,52.99,4.01,0.0,24.08
2013-08-25,3,446,474.96,56.29,3.31,0.0,23.05
2013-08-25,3,448,369.09,55.45,4.05,0.0,23.48
2013-08-25,3,452,349.25,49.65,2.78,0.0,23.34
2013-08-25,3,454,324.9,55.46,3.23,0.0,23.36
2013-08-25,3,456,411.88,53.89,3.11,0.0,23.7
2013-08-25,3,458,452.12,66.03,3.69,0.0,20.6
2013-08-25,3,462,420.72,60.14,3.3,0.0,22.39
2013-08-25,4,413,460.38,47.9,3.87,0.0,24.46
2013-08-25,4,415,472.03,54.38,17.46,0.0,23.85
2013-08-25,4,417,352.25,54.05,3.48,0.0,24.03
